segment,customers,avg_recency_days,avg_frequency,avg_monetary,total_revenue,pct_customers,pct_revenue
Champions,17113,141.25512768071056,3.0693624729737627,20257.97142523228,346674665.0,21.9597325770894,35.14016668088594
Low Engagement,33115,534.3346217726106,1.2642911067492073,8143.297840857617,269665308.0,42.49380846668121,27.334226662258246
Loyal / Active,11931,459.9087251697259,2.7403402900008382,18283.832453272986,218144405.0,15.310089953675782,22.11188623259415
At Risk,8009,699.3960544387564,1.926457735048071,12801.131976526407,102524266.0,10.27730369952136,10.392221179691592
Recent / New,7761,155.09367349568353,1.0,6383.134647596959,49539508.0,9.959065303032247,5.021499244570071
